"","Year","Lon_M","Lat_M","MUN","ANC","DC","SST","SALI","GSST","BAT","CHL"
"2474",2001,-79.2483,-12.19013,0,0,107.9057,17.80006,35.11942,0.03912228,-5119.261,0.265134958
"2557",2001,-79.7155,-10.65967,0,0,96.22017,17.9208,35.00656,0.09061978,-5505.014,0.27078841
"2044",2001,-71.20098,-17.96605,0,0,8.445418,16.75193,34.9318,0.1523162,-465.8431,1.77437916
"1228",2001,-80.46998,-9.765663,0,0,115.5436,18.69417,34.98799,0.1032031,-6055.498,0.613597441
"2969",2001,-71.62823,-18.20488,0,0,33.06832,16.58929,34.92996,0.04946375,-1325.875,0.473668964
"2035",2001,-78.94,-9.419833,0,0,24.38047,16.71743,34.95369,0.0404143,-123.0261,1.875632845
"2830",2001,-74.2149,-17.43975,0,0,77.64473,17.93511,34.98658,0.167526,-5097.685,0.251499893
"1189",2001,-74.8588,-16.53857,0,0,50.30779,16.50396,34.91268,0.08026351,-6196.269,0.255169283
"1561",2001,-76.30355,-13.6374,0,0,5.52548,15.95914,34.90886,0.1647499,-56.04386,5.864189026
"790",2001,-79.10813,-12.53295,0,0,113.0142,17.41392,35.06896,0.1855698,-4939.354,0.237782206
"3805",2001,-76.47975,-15.88522,0,0,77.635,17.41558,35.01129,0.008860917,-3185.983,0.228378045
"2186",2001,-80.44733429,-6.58500004,0,34.177,6.611999421,16.68316493,34.91833752,0.155898011,-25.9000096,1.263877401
"4052",2001,-72.00505,-18.27903,0,0,49.45967,16.89518,34.95191,0.4111168,-2757.351,0.317659837
"714",2001,-79.61017,-8.616333,0,0,41.52617,17.06413,34.95205,0.09784948,-93.41992,2.240743654
"2924",2001,-77.09261,-12.98125,0,0,30.05956,16.64637,34.93486,0.06515402,-581.8158,0.449556197
"2185",2001,-79.05928,-12.09875,0,0,95.55768,17.77556,35.10981,0.0727398,-5653.581,0.273955077
"3593",2001,-79.13969,-11.86132,0,0,93.59568,18.00862,35.15749,0.03892056,-6042.432,0.288867495
"2461",2001,-78.42257,-12.88787,0,0,88.07669,17.08955,35.05592,0.1304389,-5611.11,0.422242021
"2700",2001,-79.70133,-11.01067,0,0,104.4731,18.47536,35.15324,0.04322493,-6220.695,0.198601363
"1846",2001,-78.17803,-12.97418,0,0,79.9739,16.98129,35.03279,0.0623811,-4914.305,0.463604925
"3274",2001,-76.19489,-15.7142,0,0,58.2749,17.16472,34.9909,0.1062611,-3807.613,0.349044085
"1626",2001,-77.43015,-14.93477,0,0,80.53617,16.24393,34.94505,0.09107382,-4000.415,0.38688139
"121",2001,-78.579,-12.41,0,0,84.942,17.68426,35.08417,0.09124284,-4468.646,0.311503663
"994",2001,-80.36684,-9.941667,0,0,113.5808,18.48262,34.98214,0.1724269,-5744.051,0.51992793
"1288",2001,-74.13537,-16.7549,0,0,39.56957,16.14855,34.90225,0.1359801,-4696.974,0.274741653
"514",2001,-82.2145,-7.425167,0,0,104.7217,18.77691,35.01624,0.02846799,-4338.199,0.440307882
"1921",2001,-79.29234,-10.49217,0,0,69.33416,17.66402,34.97361,0.06786249,-2655.001,0.467091133
"3083",2001,-79.98566437,-8.51200008,0,27.202,53.45589382,17.28107005,34.94310815,0.097609046,-260.2425234,1.020088972
"1296",2001,-77.58736,-15.2012,0,0,97.30133,16.62018,34.97253,0.3250241,-3644.285,0.364348932
"1955",2001,-74.09507,-17.7562,0,0,93.12836,17.60647,35.00693,0.07177576,-4190.169,0.310020925
"1899",2001,-81.0675,-7.993,0,0,94.15547,18.41163,34.95504,0.1154216,-4692.507,1.030951153
"3060",2001,-74.10841,-17.28172,0,0,66.58911,17.60849,34.96697,0.4705912,-6102.455,0.229686903
"2176",2001,-76.63243,-13.61232,0,0,18.98906,16.3057,34.91453,0.07718151,-162.2002,2.331762453
"410",2001,-79.57133,-11.70855,0,0,115.2642,18.54989,35.16814,0.1632673,-5193.896,0.24656927
"3099",2001,-77.00552,-12.93048,0,0,24.13331,16.79286,34.91799,0.05483817,-366.0893,0.504759453
"2175",2001,-79.509,-10.61617,0,0,83.90376,17.77404,34.99431,0.1105467,-4011.894,0.306805599
"814",2001,-77.46103668,-12.89000034,0,325.6974486,44.71945205,16.30399295,34.95598718,0.022423818,-1355.276431,1.056271045
"2874",2001,-74.21453,-17.42318,0,0,76.71806,17.88569,34.98215,0.2167145,-5158.114,0.248784516
"1178",2001,-78.57667,-10.07367,0,0,21.52493,16.86535,34.958,0.04427464,-169.2797,2.02792565
"1876",2001,-79.643,-11.251,0,0,108.3241,18.55528,35.1244,0.03594136,-5668.619,0.196828151
"3939",2001,-78.89167,-11.71845,0,0,76.95369,18.05959,35.15024,0.04374476,-3985.548,0.33263162
"1624",2001,-79.2915,-9.615833,0,0,48.16655,17.38992,34.94923,0.1807953,-157.8409,0.726751509
"936",2001,-73.72528,-18.05485,0,0,100.9843,17.72677,35.01963,0.04371339,-4155.227,0.377820052
"831",2001,-76.85833,-15.51713,0,0,75.24718,17.45446,35.0218,0.03368276,-2936.265,0.278278817
"2637",2001,-75.80244,-15.49538,0,0,32.27411,15.84038,34.91965,0.1197587,-3473.472,1.516096227
"3750",2001,-78.14503,-12.4645,0,0,61.69539,17.38125,35.09043,0.1247646,-2724.756,0.753323769
